image_path,smiles,T,P,Leak Size,Material Quantity,Number of carbon atoms,Number of hydrogen atoms,Number of oxygen atoms,Number of nitrogen atoms,Number of sulfur atoms,Number of halogen atoms,Molecular Weight,NFPA fire rating,DM,¦ÅHOMO,¦ÅLUMO,¦Ì,¦Ç,¦Ø,log(Late Pool Fire)
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,2,10,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0156,0.444741
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,5,10,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0156,0.962207
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,10,10,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.277256
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,25,10,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.617287
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,50,25,10,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.595648
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,50,10,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.809883
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,50,50,10,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.904371
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,2,500,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,0.444741
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,5,500,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,0.962207
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,10,500,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.277256
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,25,500,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.617182
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,50,25,500,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.658368
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,50,500,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.85218
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,50,50,500,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.898045
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,100,50,500,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.887898
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,2,5000,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,0.444741
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,5,5000,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,0.962207
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,1,10,5000,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.277256
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,50,25,5000,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.648725
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,50,50,5000,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,2.093359
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,100,50,5000,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.887898
C:\Users\34841\Desktop\jupyter\tux\molecules_CCC.png,CCC,-50,500,50,5000,3,8,0,0,0,0,44.1,4,0.0554,-0.3245,0.0961,-0.1142,0.4205,0.0155,1.887898
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,-50,1,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,0.96473
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,0,1,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,0.953321
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,20,1,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,0.948034
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,50,1,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,0.93689
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,100,1,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,0.873907
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,-50,50,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,1.238608
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,0,50,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,1.217681
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,20,50,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,1.197628
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,50,50,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,1.114538
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,100,50,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,1.172594
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,-50,100,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,1.232905
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,100,100,2,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,1.219341
C:\Users\34841\Desktop\jupyter\tux\molecules_CCCCCCC.png,CCCCCCC,-50,1,5,10,7,16,0,0,0,0,100.2,3,0.0543,-0.2994,0.092,-0.1037,0.3914,0.0137,1.181478
